Fit Type,Measured Speed (m/s),Theoretical Speed (m/s),Percentage Error (%)
Polynomial2,315671455.876567,299792458,5.29666355935045
Polynomial3,315000068.478934,299792458,5.07271282953169
Polynomial4,314741767.354529,299792458,4.9865528486806
Polynomial5,314029974.481311,299792458,4.74912430295723
Polynomial6,314231771.152061,299792458,4.81643642685004
Polynomial7,314609017.812858,299792458,4.94227236792524
Polynomial8,317196469.720269,299792458,5.80535342228943
Polynomial9,310838552.355391,299792458,3.68458046912932
Fourier1,314269038.239912,299792458,4.82886738928962
Fourier2,315118396.722138,299792458,5.11218288291214
Fourier3,314634241.487957,299792458,4.95068608028739
Fourier4,318421060.601371,299792458,6.21383297153226
Fourier5,312632260.786824,299792458,4.28289719910954
Fourier6,311157817.364235,299792458,3.79107581293305
Gauss1,316076172.169643,299792458,5.43166238346213
Gauss2,316670284.815428,299792458,5.6298370305993
Gauss3,314859580.860118,299792458,5.0258512040747
